id,elemento,fecha,anio,month,week,localizacion,medicion
140,Precipitación pluvial,2016-02-29,2016,2,9,8,-99.0
141,Precipitación pluvial,2016-02-29,2016,2,9,5,-99.0
142,Precipitación pluvial,2016-02-29,2016,2,9,12,-99.0
143,Precipitación pluvial,2016-02-29,2016,2,9,3,-99.0
144,Precipitación pluvial,2016-03-07,2016,3,10,7,-99.0
145,Precipitación pluvial,2016-03-07,2016,3,10,4,-99.0
146,Precipitación pluvial,2016-03-07,2016,3,10,9,-99.0
147,Precipitación pluvial,2016-03-07,2016,3,10,2,-99.0
148,Precipitación pluvial,2016-03-07,2016,3,10,16,-99.0
149,Precipitación pluvial,2016-03-07,2016,3,10,13,-99.0
150,Precipitación pluvial,2016-03-07,2016,3,10,1,-99.0
151,Precipitación pluvial,2016-03-07,2016,3,10,6,-99.0
152,Precipitación pluvial,2016-03-07,2016,3,10,14,-99.0
153,Precipitación pluvial,2016-03-07,2016,3,10,15,-99.0
154,Precipitación pluvial,2016-03-07,2016,3,10,10,-99.0
155,Precipitación pluvial,2016-03-07,2016,3,10,11,-99.0
156,Precipitación pluvial,2016-03-07,2016,3,10,8,-99.0
157,Precipitación pluvial,2016-03-07,2016,3,10,5,-99.0
158,Precipitación pluvial,2016-03-07,2016,3,10,12,-99.0
159,Precipitación pluvial,2016-03-07,2016,3,10,3,-99.0
160,Precipitación pluvial,2016-03-14,2016,3,11,7,-99.0
161,Precipitación pluvial,2016-03-14,2016,3,11,4,-99.0
162,Precipitación pluvial,2016-03-14,2016,3,11,9,-99.0
163,Precipitación pluvial,2016-03-14,2016,3,11,2,-99.0
164,Precipitación pluvial,2016-03-14,2016,3,11,16,-99.0
165,Precipitación pluvial,2016-03-14,2016,3,11,13,-99.0
166,Precipitación pluvial,2016-03-14,2016,3,11,1,-99.0
167,Precipitación pluvial,2016-03-14,2016,3,11,6,-99.0
168,Precipitación pluvial,2016-03-14,2016,3,11,14,-99.0
169,Precipitación pluvial,2016-03-14,2016,3,11,15,-99.0
170,Precipitación pluvial,2016-03-14,2016,3,11,10,-99.0
171,Precipitación pluvial,2016-03-14,2016,3,11,11,-99.0
172,Precipitación pluvial,2016-03-14,2016,3,11,8,-99.0
173,Precipitación pluvial,2016-03-14,2016,3,11,5,-99.0
174,Precipitación pluvial,2016-03-14,2016,3,11,12,-99.0
175,Precipitación pluvial,2016-03-14,2016,3,11,3,-99.0
176,Precipitación pluvial,2016-03-21,2016,3,12,7,-99.0
177,Precipitación pluvial,2016-03-21,2016,3,12,4,-99.0
178,Precipitación pluvial,2016-03-21,2016,3,12,9,-99.0
179,Precipitación pluvial,2016-03-21,2016,3,12,2,-99.0
180,Precipitación pluvial,2016-03-21,2016,3,12,16,-99.0
181,Precipitación pluvial,2016-03-21,2016,3,12,13,-99.0
182,Precipitación pluvial,2016-03-21,2016,3,12,1,-99.0
183,Precipitación pluvial,2016-03-21,2016,3,12,6,-99.0
184,Precipitación pluvial,2016-03-21,2016,3,12,14,-99.0
185,Precipitación pluvial,2016-03-21,2016,3,12,15,-99.0
186,Precipitación pluvial,2016-03-21,2016,3,12,10,-99.0
187,Precipitación pluvial,2016-03-21,2016,3,12,11,-99.0
188,Precipitación pluvial,2016-03-21,2016,3,12,8,-99.0
189,Precipitación pluvial,2016-03-21,2016,3,12,5,-99.0
190,Precipitación pluvial,2016-03-21,2016,3,12,12,-99.0
191,Precipitación pluvial,2016-03-21,2016,3,12,3,-99.0
192,Precipitación pluvial,2016-03-28,2016,3,13,7,-99.0
193,Precipitación pluvial,2016-03-28,2016,3,13,4,-99.0
194,Precipitación pluvial,2016-03-28,2016,3,13,9,-99.0
195,Precipitación pluvial,2016-03-28,2016,3,13,2,-99.0
196,Precipitación pluvial,2016-03-28,2016,3,13,16,-99.0
197,Precipitación pluvial,2016-03-28,2016,3,13,13,-99.0
198,Precipitación pluvial,2016-03-28,2016,3,13,1,-99.0
199,Precipitación pluvial,2016-03-28,2016,3,13,6,-99.0
200,Precipitación pluvial,2016-03-28,2016,3,13,14,-99.0
201,Precipitación pluvial,2016-03-28,2016,3,13,15,-99.0
202,Precipitación pluvial,2016-03-28,2016,3,13,10,-99.0
203,Precipitación pluvial,2016-03-28,2016,3,13,11,-99.0
204,Precipitación pluvial,2016-03-28,2016,3,13,8,-99.0
205,Precipitación pluvial,2016-03-28,2016,3,13,5,-99.0
206,Precipitación pluvial,2016-03-28,2016,3,13,12,-99.0
207,Precipitación pluvial,2016-03-28,2016,3,13,3,-99.0
208,Precipitación pluvial,2016-04-04,2016,4,14,7,-99.0
209,Precipitación pluvial,2016-04-04,2016,4,14,4,-99.0
210,Precipitación pluvial,2016-04-04,2016,4,14,9,-99.0
211,Precipitación pluvial,2016-04-04,2016,4,14,2,-99.0
212,Precipitación pluvial,2016-04-04,2016,4,14,16,-99.0
213,Precipitación pluvial,2016-04-04,2016,4,14,13,-99.0
214,Precipitación pluvial,2016-04-04,2016,4,14,1,-99.0
215,Precipitación pluvial,2016-04-04,2016,4,14,6,-99.0
216,Precipitación pluvial,2016-04-04,2016,4,14,14,-99.0
217,Precipitación pluvial,2016-04-04,2016,4,14,15,-99.0
218,Precipitación pluvial,2016-04-04,2016,4,14,10,-99.0
219,Precipitación pluvial,2016-04-04,2016,4,14,11,-99.0
220,Precipitación pluvial,2016-04-04,2016,4,14,8,-99.0
221,Precipitación pluvial,2016-04-04,2016,4,14,5,-99.0
222,Precipitación pluvial,2016-04-04,2016,4,14,12,-99.0
223,Precipitación pluvial,2016-04-04,2016,4,14,3,-99.0
224,Precipitación pluvial,2016-04-11,2016,4,15,7,-99.0
225,Precipitación pluvial,2016-04-11,2016,4,15,4,-99.0
226,Precipitación pluvial,2016-04-11,2016,4,15,9,-99.0
227,Precipitación pluvial,2016-04-11,2016,4,15,2,-99.0
228,Precipitación pluvial,2016-04-11,2016,4,15,16,-99.0
229,Precipitación pluvial,2016-04-11,2016,4,15,13,-99.0
230,Precipitación pluvial,2016-04-11,2016,4,15,1,-99.0
231,Precipitación pluvial,2016-04-11,2016,4,15,6,-99.0
232,Precipitación pluvial,2016-04-11,2016,4,15,14,-99.0
233,Precipitación pluvial,2016-04-11,2016,4,15,15,-99.0
234,Precipitación pluvial,2016-04-11,2016,4,15,10,-99.0
235,Precipitación pluvial,2016-04-11,2016,4,15,11,-99.0
236,Precipitación pluvial,2016-04-11,2016,4,15,8,-99.0
237,Precipitación pluvial,2016-04-11,2016,4,15,5,-99.0
238,Precipitación pluvial,2016-04-11,2016,4,15,12,-99.0
239,Precipitación pluvial,2016-04-11,2016,4,15,3,-99.0
240,Precipitación pluvial,2016-04-18,2016,4,16,7,-99.0
241,Precipitación pluvial,2016-04-18,2016,4,16,4,-99.0
242,Precipitación pluvial,2016-04-18,2016,4,16,9,-99.0
243,Precipitación pluvial,2016-04-18,2016,4,16,2,-99.0
244,Precipitación pluvial,2016-04-18,2016,4,16,16,-99.0
245,Precipitación pluvial,2016-04-18,2016,4,16,13,-99.0
246,Precipitación pluvial,2016-04-18,2016,4,16,1,-99.0
247,Precipitación pluvial,2016-04-18,2016,4,16,6,-99.0
248,Precipitación pluvial,2016-04-18,2016,4,16,14,-99.0
249,Precipitación pluvial,2016-04-18,2016,4,16,15,-99.0
250,Precipitación pluvial,2016-04-18,2016,4,16,10,-99.0
251,Precipitación pluvial,2016-04-18,2016,4,16,11,-99.0
252,Precipitación pluvial,2016-04-18,2016,4,16,8,-99.0
