id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21900114,"Three BD apt in Condesa, huge and sunny!",157491849,Juan Rodrigo,,Cuauhtémoc,19.40808,-99.17366,Entire home/apt,1124,3,4,2019-03-11,1.07,26,265
21900257,Great apartment at La Condesa!!,80797627,Josue,,Cuauhtémoc,19.41239,-99.17819,Entire home/apt,1258,3,75,2019-05-12,4.13,1,56
21900495,"Double Room, best location!",115084544,Pablo,,Benito Juárez,19.38054,-99.18401,Private room,248,1,15,2018-06-07,0.84,2,306
21901216,Local Savvy | Condesa,134946923,Luis Carlos,,Cuauhtémoc,19.41999,-99.17499,Entire home/apt,2192,1,46,2019-04-30,2.68,26,347
21901564,Grande habitacion en depa compartido,43398706,Sylvain,,Cuauhtémoc,19.41735,-99.16347,Private room,591,7,1,2017-12-11,0.06,1,0
21907477,Cómoda habitación en la Condesa,158705841,Demian Guillermo,,Cuauhtémoc,19.41243,-99.17404,Private room,343,2,4,2018-03-10,0.24,3,50
21908163,Modern Apartment with an Amazing View,93919083,Sergio,,Cuauhtémoc,19.41668,-99.17877,Entire home/apt,1906,2,61,2019-05-16,3.41,3,110
21908493,Habitación con baño privado en Plaza Carso,15239147,Karla,,Miguel Hidalgo,19.44086,-99.20463,Private room,800,3,0,,,1,0
21908692,Oasis w/Unbeatable View Over Bosque de Chapultepec,93919083,Sergio,,Cuauhtémoc,19.4145,-99.17887,Entire home/apt,1334,2,96,2019-05-17,5.53,3,105
21909114,Amazing View + Great Location,93919083,Sergio,,Cuauhtémoc,19.41469,-99.17978,Entire home/apt,1906,2,57,2019-04-19,3.23,3,187
21913513,Departamento en San Angel Residencial.,57803754,Veronica,,Álvaro Obregón,19.33239,-99.20254,Entire home/apt,494,5,0,,,1,89
21914385,"COZY APARTMENT, great location",43962115,Fernanda,,Miguel Hidalgo,19.44406,-99.20178,Entire home/apt,1277,2,1,2018-02-17,0.07,1,50
21914527,Friendly flat here,159897857,Jaime,,Cuauhtémoc,19.45754,-99.15693,Private room,324,1,0,,,1,90
21915477,Casa Kamffer 2 small apartment,83438226,Cuauhtemoc,,Cuauhtémoc,19.4218,-99.15932,Entire home/apt,457,2,60,2019-05-12,3.42,3,89
21915865,CUARTOS EN RENTA SEMIAMUEBLADO. CERCA AL TEC.,147846852,Luis Eduardo,,Tlalpan,19.29352,-99.1375,Private room,191,3,0,,,1,253
21916349,Tú Casa en CDMX. Espacio agradable y cómodo,151809361,Hector,,Cuauhtémoc,19.42827,-99.1594,Private room,476,1,50,2019-04-28,2.87,2,169
21921759,COMOD-INN DEL VALLE DELUXE,141363911,Barbara,,Benito Juárez,19.38582,-99.16497,Private room,362,1,5,2018-04-14,0.28,2,233
21922059,"Bright & Spacious 3 BR - Plants, View, Parking!",29109338,Manuela,,Cuauhtémoc,19.41327,-99.15877,Entire home/apt,3230,1,7,2019-02-18,0.39,2,1
21923807,Acogedora y Nueva Suite cerca de Santa Fe,113464727,Ruth,,Cuajimalpa de Morelos,19.36586,-99.27065,Entire home/apt,991,2,17,2019-03-17,0.97,1,344
21924908,LargeGroups ✔6BR ✔  Business & Touristic Area,46570815,Claudio  & Angela,,Cuauhtémoc,19.42882,-99.16047,Entire home/apt,3430,2,5,2019-05-14,0.32,10,338
21925527,Depa de 2 recamaras con increíble vista,3953550,Anaí,,Benito Juárez,19.38677,-99.14807,Private room,648,5,3,2018-07-30,0.17,1,90
21926259,#201 Cute & Cozy A/C apt.  Walk the City Center!,90850835,Jack Y Alice,,Cuauhtémoc,19.4301,-99.13562,Entire home/apt,800,1,61,2019-04-23,3.46,5,317
21926958,Recámara céntrica,145868466,Martha,,Cuauhtémoc,19.40595,-99.13858,Private room,191,1,27,2019-05-05,1.55,1,319
21927337,Dream penthouse w/private rooftop...walk anywhere!,2584192,Kika,,Miguel Hidalgo,19.435,-99.18133,Entire home/apt,1715,2,7,2018-10-29,0.41,1,0
21931082,★ CDMX NEW ALL YOURS★  | NEAR HISTORIC DTWN |,49027779,Sonia,,Benito Juárez,19.38587,-99.14304,Entire home/apt,743,1,110,2019-05-13,6.42,2,298
21935084,Destination Polanco @Portika,53361285,Destination MX,,Miguel Hidalgo,19.44182,-99.17715,Entire home/apt,1201,1,18,2018-06-30,1.03,25,50
21935541,Coyoacán room with private terrace,34546768,Erica,,Coyoacán,19.34729,-99.16188,Private room,608,1,105,2019-05-19,5.88,2,316
21936009,Excelente apartamento en Calle Dante 18.,122863192,Alejandro,,Miguel Hidalgo,19.42739,-99.17672,Private room,457,1,1,2017-11-27,0.06,1,0
21936190,Departamento con amenidades.,160090552,Pedro,,Azcapotzalco,19.49553,-99.20694,Private room,399,1,1,2018-11-05,0.15,1,365
21936648,"Nuevo de Lujo,Moderno,Col.Roma Nte. Seguridad 100%",74229560,Norma,,Cuauhtémoc,19.42002,-99.16326,Entire home/apt,1277,2,15,2018-11-26,0.89,1,133
21936687,Destination Centro @Donceles Master Loft,53361285,Destination MX,,Cuauhtémoc,19.43714,-99.13882,Entire home/apt,991,1,116,2019-05-10,6.58,25,333
21937746,Destination Condesa @Roma Norte Penthouse Loft,53361285,Destination MX,,Cuauhtémoc,19.41714,-99.15823,Entire home/apt,1201,1,45,2019-05-13,2.64,25,324
21945290,Downtown Coyoacan  Mexico City / Patio,42937097,Rodrigo,,Coyoacán,19.35087,-99.17179,Entire home/apt,1849,2,27,2019-04-28,1.69,1,338
21945738,Polanco with a view of the clock tower,75624782,Sergio,,Miguel Hidalgo,19.42914,-99.19725,Entire home/apt,1258,2,14,2019-03-24,0.83,1,15
21945853,"Cuarto privado, cerca del WTC",160186876,Rafaela,,Benito Juárez,19.39705,-99.17106,Private room,553,1,0,,,1,90
21947673,"Departamento - Aeropuerto, Foro sol y metro cerca.",44803091,Marduk,,Iztacalco,19.4105,-99.0595,Private room,6708,1,1,2018-02-11,0.06,1,180
21949434,Habitación en departamento en Condesa,132829490,Paulina,,Cuauhtémoc,19.4035,-99.16976,Private room,305,2,11,2019-03-18,1.02,3,0
21950216,Hip Roma Norte Apartment,4832051,Nanae,,Cuauhtémoc,19.41829,-99.16132,Entire home/apt,953,2,53,2019-05-08,3.29,2,75
21950758,Habitación cerca de Polanco,157496745,Daniel,,Miguel Hidalgo,19.43247,-99.21181,Shared room,858,1,0,,,1,0
21958231,Cozy room at the heart of Roma Norte,35307427,Sophie,,Cuauhtémoc,19.41726,-99.1588,Private room,438,3,5,2018-02-25,0.30,1,0
