id,tipo,nombre,categoria,alcaldia
332,Hotel,Hotel Único,2,6
333,Hotel,Apartamentos Amueblados San Antonio,2,3
334,Hotel,Hotel Laredo,0,6
335,Hotel,Hotel Geneve,3,11
336,Hotel,Hotel Ámbar,3,6
337,Hotel,Hotel La Raza,2,6
338,Hotel,Hotel Casa Silencio,2,3
339,Hotel,Hotel Gracia,3,3
340,Hotel,Hotel Villa de Madrid,3,7
341,Hotel,Hostel Catedral Mundo Joven,0,6
342,Hotel,Hotel Apatlaco,3,8
343,Hotel,Hotel Canadá,0,11
344,Hotel,Hotel Moctezuma,1,6
345,Hotel,Hotel Modelo,3,7
346,Hotel,Hotel Residencia Polanco,5,11
347,Hotel,Hotel y Villas Pal,4,6
348,Hotel,Hotel Leo,3,14
349,Hotel,Casa de La Condesa,4,6
350,Hotel,Hotel Atlanta,2,6
351,Hotel,Hotel Pirámides,0,3
352,Hotel,Hotel Boston Plaza,4,4
353,Hotel,Suites Del Ángel,5,6
354,Hotel,Casa Castelar,0,6
355,Hotel,Basic Hotel,4,6
356,Hotel,Hotel Victoria,1,6
357,Hotel,Hotel Fiesta Inn Centro Histórico,4,6
358,Hotel,Fiesta Inn Insurgentes Viaducto,5,11
359,Hotel,Condesa Suites,0,6
360,Hotel,Hotel & Villas Cabanna,3,16
361,Hotel,Dominion Corporate Suites,5,11
362,Hotel,Real Azteca,4,4
363,Hotel,Hotel Suites Embassy,3,6
364,Hotel,Hotel Pennsylvania,2,6
365,Hotel,Suites Contempo,5,11
366,Hotel,Hotel NH México City Centro Histórico,4,6
367,Hotel,Posada Real de Juárez,2,6
368,Hotel,Hotel Camino Real Pedregal México,5,10
369,Hotel,Eurostars Zona Rosa Suites,5,6
370,Hotel,Hotel Aranjuez,3,3
371,Hotel,The Green Park Hotel,5,11
372,Hotel,Suites Obelisk,0,11
373,Hotel,Hotel Naciones,4,7
374,Hotel,Residence L'heritage,5,11
375,Hotel,Hotel Hippodrome,5,6
376,Hotel,Hotel Monte Casino,3,7
377,Hotel,Quinta Alma Sofía Hostal Campestre,0,16
378,Hotel,Plaza Suites México City,5,6
379,Hotel,Hotel & Suites Ferri,3,7
380,Hotel,Casa Cranfill,0,6
381,Hotel,Filadelfia Suites Hotel Boutique,5,3
382,Hotel,Chillout Flat Bed And Breakfast,0,6
383,Hotel,City Express Buenavista,4,6
384,Hotel,City Suites Ciudad de México Santa Fe,4,5
385,Hotel,One Ciudad de México Alameda,3,6
386,Hotel,Stara San Ángel Inn,5,1
387,Hotel,Fiesta Inn Plaza Central Aeropuerto,4,9
388,Hotel,Hotel y Villas Ajusco,3,14
389,Hotel,Hotel Bolivar Suites,1,6
390,Hotel,Suites Florencia Motel S.A. de C.V.,2,8
391,Hotel,Motel Afrodita,2,7
392,Hotel,Quinta Inn Motel S.A. de C.V.,2,9
