id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19247387,The Ibsen,64709036,Sean,,Miguel Hidalgo,19.42988,-99.20219,Entire home/apt,7728,1,2,2019-03-10,0.15,2,365
19248250,Amplia habitación,64353340,Karen,,Tlalpan,19.30545,-99.22185,Private room,232,1,6,2019-07-13,0.21,1,179
19248737,Dinhohouse,134781795,Dinho,,Cuauhtémoc,19.45563,-99.1341,Private room,194,3,0,,,1,362
19250704,"Excelente departamento en Santa Fe, CDMX!!!",134801873,Ana,,Cuajimalpa de Morelos,19.36013,-99.27082,Entire home/apt,1491,5,4,2019-10-31,0.98,1,359
19250835,Borola Hosteria 2,56849862,Ricardo,,Miguel Hidalgo,19.40173,-99.18244,Private room,271,1,84,2019-11-10,2.83,8,365
19251004,Borola Hosteria 3,56849862,Ricardo,,Miguel Hidalgo,19.40085,-99.18268,Private room,329,1,111,2019-10-20,3.74,8,357
19251614,"TrAnQuILo, HerMoSo y CaLiDo eSpAciO aL SuR dE CDMX.",134812654,Gerardo,,Benito Juárez,19.36678,-99.15154,Entire home/apt,465,1,167,2019-11-24,5.67,1,277
19253597,HAVRE Cincuenta y Dos,129270581,José Antonio,,Cuauhtémoc,19.4258,-99.16031,Entire home/apt,1453,2,48,2019-11-17,1.73,1,336
19262810,Bamboo,91356852,Sandra,,Cuajimalpa de Morelos,19.35337,-99.30581,Entire home/apt,891,5,0,,,2,0
19264453,"Beautiful rooftop Room, Bath & Garden near Zócalo",48690079,Kiki,,Cuauhtémoc,19.43331,-99.13669,Private room,542,3,102,2019-11-05,3.48,1,202
19265406,Spacious room  in the best area,97794441,Vanessa,,Cuauhtémoc,19.41812,-99.17103,Private room,349,1,180,2019-11-19,6.30,4,360
19265486,Art Deco Pent house with amazing city views,70255780,Nestor,,Cuauhtémoc,19.43265,-99.14255,Entire home/apt,1898,2,19,2019-02-07,0.65,1,22
19267780,Department Bamboo/cuajimalpa,91356852,Sandra,,Cuauhtémoc,19.44564,-99.13109,Private room,794,30,0,,,2,358
19268367,Cómoda habitación privada en zona súper céntrica,26789625,Isaac,,Cuauhtémoc,19.42687,-99.15635,Private room,349,3,0,,,1,0
19271437,Departamento tipo estudio en  Centro de Coyoacán,115419623,Frieda,,Coyoacán,19.35272,-99.16099,Entire home/apt,562,3,74,2019-11-07,2.51,2,79
19271546,Mi casa #4 at the Polanco's most exclusive area,117036031,Brian Y Daniela,,Miguel Hidalgo,19.42967,-99.18669,Entire home/apt,4029,1,53,2019-11-08,1.80,1,151
19272056,Comfortable apartment in Reforma-CDMX,134953953,Eunice,,Cuauhtémoc,19.445,-99.13698,Entire home/apt,8852,1,39,2019-09-03,1.43,2,341
19273272,Condesa Cozy Room For One With Private Bathroom,9470995,Sejen & Pepe,,Cuauhtémoc,19.40469,-99.16938,Private room,368,3,24,2019-08-25,0.86,6,357
19274458,La Casa Naranja tu casa. Alcatraces double bedroom,37630869,Manuel,,Benito Juárez,19.3826,-99.14569,Private room,329,3,19,2019-10-29,0.68,7,120
